area ,num_resr,totalcap_1000_af,histave_1000_af ,2016_1000_af,2017_1000_af ,perc_ave,perc_cap 
NORTH COAST  ,12,5370.4,3225.9,1882.8,2762.9,240,138
SAN FRANCISCO BAY  ,17,714.5,466.3,462.6,577.2,124,81
CENTRAL COAST  ,6,993.8,588.4,140,460.5,78,46
SOUTH COAST  ,29,2122.6,1364.9,1015,1217.7,89,57
SACRAMENTO  ,43,16150.8,10440.1,8559.2,12496.6,120,77
SAN JOAQUIN  ,34,11478.8,6902,3602,8029.7,116,70
TULARE LAKE  ,6,2087.5,768.6,351.8,1027.5,134,49
NORTH LAHONTAN  ,5,1073.3,502.5,61.4,464.1,92,43
SOUTH LAHONTAN  ,8,411.6,267,235,267.3,100,65
COLORADO RIVER,4,52939,38348.7,23949.9,24158.1,63,46